Matrix Size,Eigenvalue,Kinetic Difference,Log Kinetic Difference
819,1.84623093801582159719301748889667453,0.0037961238825584403262797580309949069065439701080,-2.42065962326433226081690008868463337421417236328125
820,1.84623093801448932824427661228703248,0.0037961238812261713775388814213528569065439701080,-2.420659623416749894886379479430615901947021484375
821,1.84623093801316354041985237041653684,0.0037961238799003835531146395508572169065439701080,-2.420659623568426344064619115670211613178253173828125
822,1.84623093801184419435646798368860949,0.0037961238785810374897302528229298669065439701080,-2.42065962371936560515450764796696603298187255859375
823,1.84623093801053125097738746093711535,0.0037961238772680941106497300714357269065439701080,-2.42065962386957256313735342700965702533721923828125
824,1.84623093800922467148998506624687439,0.0037961238759615146232473353811947669065439701080,-2.420659624019051658905254953424446284770965576171875
825,1.84623093800792441738333831395767793,0.0037961238746612605166005830919983069065439701080,-2.42065962416780688926110087777487933635711669921875
826,1.84623093800663045042584424322559025,0.0037961238733672935591065123599106269065439701080,-2.420659624315842695096989700687117874622344970703125
827,1.84623093800534273266285871895893230,0.0037961238720795757961209880932526769065439701080,-2.42065962446316351730501992278732359409332275390625
828,1.84623093800406122641435849894033478,0.0037961238707980695476207680746551569065439701080,-2.4206596246097742408664998947642743587493896484375
829,1.84623093800278589427262584186269020,0.0037961238695227374058881109970105769065439701080,-2.42065962475567797440589856705628335475921630859375
830,1.84623093800151669909995538589265592,0.0037961238682535422332176550269762969065439701080,-2.4206596249008800469937341404147446155548095703125
831,1.84623093800025360402638307884841917,0.0037961238669904471596453479827395469065439701080,-2.42065962504538401134368541534058749675750732421875
832,1.84623093799899657244743690779041737,0.0037961238657334155806991769247377469065439701080,-2.42065962518919430834785089245997369289398193359375
833,1.84623093799774556802190920275303970,0.0037961238644824111551714718873600769065439701080,-2.42065962533231537889832907239906489849090576171875
834,1.84623093799650055466965027327359899,0.0037961238632373978029125424079193669065439701080,-2.42065962547475077570879875565879046916961669921875
835,1.84623093799526149656938315368843878,0.0037961238619983397026454228227591569065439701080,-2.420659625616504495582148592802695930004119873046875
836,1.84623093799402835815653922928169912,0.0037961238607652012898014984160194969065439701080,-2.4206596257575814234996869345195591449737548828125
837,1.84623093799280110412111452125618694,0.0037961238595379472543767903905073169065439701080,-2.420659625897985112175092581310309469699859619140625
838,1.84623093799157969940554639926271756,0.0037961238583165425388086683970379369065439701080,-2.420659626037719558411254183738492429256439208984375
839,1.84623093799036410920261051679051668,0.0037961238571009523358727859248370569065439701080,-2.420659626176788759011060392367653548717498779296875
840,1.84623093798915429895333774417695485,0.0037961238558911420866000133112752269065439701080,-2.42065962631519671077739985776133835315704345703125
841,1.84623093798795023434495088697692899,0.0037961238546870774782131561112493669065439701080,-2.420659626452947410513161230483092367649078369140625
842,1.84623093798675188130882097774318900,0.0037961238534887244420832468775093769065439701080,-2.420659626590044855021233161096461117267608642578125
843,1.84623093798555920601844293603653314,0.0037961238522960491517052051708535169065439701080,-2.42065962672649259701529445010237395763397216796875
844,1.84623093798437217488743038736454758,0.0037961238511090180206926564988679569065439701080,-2.420659626862294633298233748064376413822174072265625
845,1.84623093798319075456752943901569402,0.0037961238499275977007917081500143969065439701080,-2.42065962699745451658372985548339784145355224609375
846,1.84623093798201491194665120803656486,0.0037961238487517550799134771708852369065439701080,-2.42065962713197624367467142292298376560211181640625
847,1.84623093798084461414692290929956536,0.0037961238475814572801851784338857369065439701080,-2.42065962726586381137394710094667971134185791015625
848,1.84623093797967982852275729795106586,0.0037961238464166716560195670853862369065439701080,-2.420659627399121216484445540118031203746795654296875
849,1.84623093797852052265894027948057681,0.0037961238452573657922025486148971869065439701080,-2.420659627531751123541425840812735259532928466796875
850,1.84623093797736666436873649219453562,0.0037961238441035075019987613288559969065439701080,-2.4206596276637579734369865036569535732269287109375
851,1.84623093797621822169201267128607523,0.0037961238429550648252749404203956069065439701080,-2.42065962779514531888480632915161550045013427734375
852,1.84623093797507516289337860893311516,0.0037961238418120060266408780674355369065439701080,-2.4206596279259162685093542677350342273712158203125
853,1.84623093797393745646034552572225418,0.0037961238406742995936077948565745569065439701080,-2.420659628056075707291938670095987617969512939453125
