Matrix size,Lowest energy,Difference,Log
987,0.500000000031927545125314044649474639,3.1927545125314044649474639E-11,10.495834472613575714342820153664559004159497799012
988,0.500000000031830721428498219126208220,3.1830721428498219126208220E-11,10.497153518184988181754846113834371300410122162673
989,0.500000000031734288840213352405669002,3.1734288840213352405669002E-11,10.498471229703317135453015161526758609612906423899
990,0.500000000031638245387652740104059122,3.1638245387652740104059122E-11,10.499787609864314809840590180479189046665502565691
991,0.500000000031542589109938982016785619,3.1542589109938982016785619E-11,10.501102661355570645404137182015742939990874373321
992,0.500000000031447318058039906803793202,3.1447318058039906803793202E-11,10.502416386856544247722072036465395520179551464328
993,0.500000000031352430294685178705136322,3.1352430294685178705136322E-11,10.503728789038598104317577842555765193594420071841
994,0.500000000031257923894283569707738498,3.1257923894283569707738498E-11,10.505039870565030204086587818322602094397901957620
995,0.500000000031163796942840898561829777,3.1163796942840898561829777E-11,10.506349634091106457846681768144425564140702073970
996,0.500000000031070047537878627488528235,3.1070047537878627488528235E-11,10.507658082264092964463725375192524624663654119067
997,0.500000000030976673788353112334532148,3.0976673788353112334532148E-11,10.508965217723288100006860888911588702856907706750
998,0.500000000030883673814575496171637072,3.0883673814575496171637072E-11,10.510271043100054488615190721579306910620794031186
999,0.500000000030791045748132246663291109,3.0791045748132246663291109E-11,10.511575561017850770352563250849724893515589146079
1000,0.500000000030698787731806328861938295,3.0698787731806328861938295E-11,10.512878774092263202558327954011044373101828123046
1001,0.500000000030606897919499001049896128,3.0606897919499001049896128E-11,10.514180684931037190360384915686109493546987147953
1002,0.500000000030515374476152244740177461,3.0515374476152244740177461E-11,10.515481296134108510590138447291848182613160071846
1003,0.500000000030424215577671801920492814,3.0424215577671801920492814E-11,10.516780610293634531341058316418699463956879083433
1004,0.500000000030333419410850831084644376,3.0333419410850831084644376E-11,10.518078629994025186807623101180737090344740409566
1005,0.500000000030242984173294169831074352,3.0242984173294169831074352E-11,10.519375357811973803262730862948112428218592650357
1006,0.500000000030152908073343195277194955,3.0152908073343195277194955E-11,10.520670796316487825145002363661988552432744216576
1007,0.500000000030063189330001285567116758,3.0063189330001285567116758E-11,10.521964948068919318371960068918969735553095589793
1008,0.500000000029973826172859868077251032,2.9973826172859868077251032E-11,10.523257815622995381857421430779495403721165806074
