Matrix size,Predicted Coefficient,Original Coefficient,Original - Constant,Log(Original - Constant),Error,Formula
879,0.20832141853834402,0.2072022470164593,0.001713017145883594,-2.76623829008448,0.0054013483830404685,0.00283exp(-x^-23.60880) + 0.20549
880,0.20832141853834402,0.207201119546883,0.0017118896763072822,-2.7665242271091146,0.00540681920016136,0.00283exp(-x^-23.60880) + 0.20549
881,0.20832141853834402,0.2071999938022285,0.0017107639316527867,-2.7668099146282796,0.005412281706851337,0.00283exp(-x^-23.60880) + 0.20549
882,0.20832141853834402,0.2071988697780664,0.0017096399074906787,-2.7670953531505473,0.005417735924332007,0.00283exp(-x^-23.60880) + 0.20549
883,0.20832141853834402,0.2071977474695145,0.0017085175989387802,-2.7673805433020724,0.005423181876023274,0.00283exp(-x^-23.60880) + 0.20549
884,0.20832141853834402,0.2071966268713029,0.0017073970007271955,-2.767665485810429,0.005428619587227887,0.00283exp(-x^-23.60880) + 0.20549
885,0.20832141853834402,0.2071955079796604,0.0017062781090846912,-2.767950181024799,0.005434049075977716,0.00283exp(-x^-23.60880) + 0.20549
886,0.20832141853834402,0.2071943907895244,0.0017051609189486783,-2.768234629625325,0.005439470366572307,0.00283exp(-x^-23.60880) + 0.20549
887,0.20832141853834402,0.2071932753045469,0.0017040454339711797,-2.768518830074058,0.005444883441023346,0.00283exp(-x^-23.60880) + 0.20549
888,0.20832141853834402,0.2071921614953804,0.001702931624804671,-2.768802789245955,0.005450288441480473,0.00283exp(-x^-23.60880) + 0.20549
889,0.20832141853834402,0.2071910493828486,0.001701819512272884,-2.7690865012316723,0.005455685266629027,0.00283exp(-x^-23.60880) + 0.20549
890,0.20832141853834402,0.2071899389529473,0.0017007090823715765,-2.7693699690012354,0.005461073984165226,0.00283exp(-x^-23.60880) + 0.20549
891,0.20832141853834402,0.2071888302023803,0.0016996003318045794,-2.769653192797348,0.0054664546098233974,0.00283exp(-x^-23.60880) + 0.20549
